Hole,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.08,1.09,1.1,1.11,1.12,1.13,1.14,1.15,1.16,1.17,1.18,2.01,2.02,2.03,2.04,2.05,2.06,2.07,2.08,2.09,2.1,2.11,2.12,2.13,2.14,2.15,2.16,2.17,2.18,3.01,3.02,3.03,3.04,3.05,3.06,3.07,3.08,3.09,3.1,3.11,3.12,3.13,3.14,3.15,3.16,3.17,3.18,4.01,4.02,4.03,4.04,4.05,4.06,4.07,4.08,4.09,4.1,4.11,4.12,4.13,4.14,4.15,4.16,4.17,4.18
Par,4,5,4,3,4,3,4,5,4,4,4,3,5,4,5,3,4,4,4,5,4,3,4,3,4,5,4,4,4,3,5,4,5,3,4,4,4,5,4,3,4,3,4,5,4,4,4,3,5,4,5,3,4,4,4,5,4,3,4,3,4,5,4,4,4,3,5,4,5,3,4,4
Dustin Johnson,4,3,4,3,4,3,4,4,4,4,4,2,5,4,4,2,4,3,4,5,4,3,4,3,4,5,3,4,3,2,4,5,6,3,4,4,4,3,3,2,4,3,3,5,4,4,4,3,4,4,4,3,4,4,4,5,3,4,5,2,4,4,4,4,4,3,4,3,4,3,4,4
Cameron Smith,4,4,3,2,4,3,4,4,3,5,4,3,4,4,5,3,4,4,4,4,4,2,4,3,5,5,5,5,4,3,4,5,3,2,3,3,4,5,4,3,4,3,4,5,4,4,4,3,4,3,4,3,4,4,4,4,3,3,5,3,3,5,3,4,5,3,5,4,4,3,4,4
Sungjae Im,4,4,3,3,5,3,3,4,3,3,4,3,4,4,6,2,4,4,5,4,4,4,4,2,4,5,3,4,4,2,4,5,4,3,4,5,4,4,3,3,4,3,4,5,4,4,3,3,5,4,4,3,5,3,4,4,3,3,4,4,5,4,4,4,4,3,4,4,4,3,4,4
Justin Thomas,3,4,3,3,3,3,5,4,4,3,4,3,5,4,4,3,4,4,6,4,4,3,4,3,4,4,3,5,4,3,6,4,4,2,3,3,4,4,4,3,4,2,4,5,4,3,4,4,4,5,6,2,4,5,4,6,4,3,4,3,4,4,4,4,4,2,5,4,3,3,5,4
Rory McIlroy,5,5,4,3,4,3,4,4,4,5,4,3,6,5,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,2,5,4,4,3,3,4,4,4,4,3,4,3,4,4,3,3,4,2,6,4,5,2,4,4,4,5,3,3,4,2,4,4,4,5,4,3,4,4,5,3,4,4
Dylan Frittelli,3,4,4,3,4,2,4,5,4,4,4,4,3,3,4,2,4,4,5,6,3,4,4,3,4,4,4,3,4,3,5,5,4,3,5,4,4,4,4,3,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,5,4,3,5,3,3,6,3,4,4,3,5,3,5,4,4,4
C.T. Pan,4,5,4,2,4,3,4,5,4,4,4,4,4,4,5,2,4,4,3,4,4,3,4,3,4,4,4,4,4,3,5,4,3,2,4,4,4,5,4,3,4,3,4,5,4,4,4,3,5,5,5,3,4,5,4,4,4,3,4,3,5,4,4,4,4,4,4,4,4,2,3,4
Brooks Koepka,4,5,4,3,4,3,5,5,4,5,4,3,5,4,3,2,4,3,3,5,5,3,4,4,4,4,3,5,4,2,4,4,4,3,4,4,4,4,3,3,5,4,4,5,4,4,4,2,5,4,3,3,4,4,4,5,4,3,4,3,3,5,4,4,5,3,4,4,4,3,4,4
Jon Rahm,4,3,3,3,4,3,5,5,4,4,5,4,4,4,4,3,4,3,4,4,4,2,4,3,4,4,3,4,4,2,4,4,5,3,4,4,4,5,3,3,4,3,4,7,4,4,4,3,5,3,4,3,4,5,5,4,4,3,4,3,4,5,4,5,4,5,4,4,3,2,5,3
Webb Simpson,3,3,4,3,4,3,4,5,4,4,4,3,4,4,4,3,4,4,5,5,4,2,5,3,4,4,4,4,5,3,6,4,3,4,4,4,4,4,4,4,5,2,3,5,3,4,4,3,4,5,4,3,5,5,4,5,4,3,4,4,3,5,4,4,4,2,4,4,4,3,4,3
Corey Conners,4,4,5,4,4,4,5,5,3,4,5,3,5,4,3,3,4,5,4,4,4,3,4,3,4,4,3,3,5,3,4,4,4,2,4,3,4,4,4,4,4,2,4,5,4,4,4,3,5,4,4,2,5,5,4,5,4,3,4,4,3,5,4,4,3,3,4,5,5,2,3,4
Patrick Reed,5,4,5,3,4,3,4,4,3,4,4,4,4,3,6,2,3,3,5,4,4,3,4,2,4,4,4,4,4,4,4,4,4,2,5,3,4,4,4,3,6,4,3,5,4,3,4,2,5,4,4,2,5,5,4,5,5,3,4,3,3,5,4,5,4,3,4,4,6,2,4,4
Marc Leishman,4,5,4,2,4,3,4,5,4,5,4,3,3,4,4,3,5,4,6,4,4,3,4,3,4,4,4,4,3,3,4,4,4,3,5,6,4,4,4,3,4,2,5,5,4,4,4,3,4,4,4,3,4,5,4,3,4,3,4,3,5,4,4,5,4,3,3,3,5,3,4,4
Hideki Matsuyama,4,5,3,3,5,3,4,4,3,4,4,3,4,3,5,3,4,4,4,4,4,3,4,3,4,5,4,3,4,3,4,4,4,3,4,4,4,4,4,3,5,2,4,5,5,5,4,3,4,3,5,3,5,4,4,4,5,2,4,3,4,5,4,5,6,3,4,4,4,3,4,4
Kevin Na,4,5,4,3,4,3,5,5,4,4,5,3,5,4,4,3,4,4,4,4,4,3,3,3,5,4,4,3,3,3,5,4,5,3,4,4,5,4,4,3,4,2,4,5,3,4,5,3,5,4,4,3,4,3,4,4,4,4,4,2,3,4,4,4,5,3,5,4,5,3,4,4
Abraham Ancer,4,6,4,3,4,3,4,4,3,4,5,3,4,3,4,3,4,3,4,4,4,3,4,2,4,4,4,5,4,2,5,3,5,2,4,4,4,5,3,3,4,3,3,5,4,4,4,3,6,4,4,2,4,4,4,5,5,4,4,4,5,4,4,5,5,3,5,4,4,3,4,4
Xander Schauffele,3,4,3,3,5,3,5,5,4,4,3,3,4,3,5,3,4,3,4,4,3,4,4,4,5,4,4,4,6,3,4,4,5,3,4,4,5,4,5,3,4,3,5,5,5,4,4,2,3,4,5,2,4,4,4,5,5,3,5,3,4,5,4,4,4,3,4,3,4,3,3,4
Patrick Cantlay,3,5,3,3,5,3,4,5,3,4,4,3,5,4,5,3,4,4,4,4,3,3,4,3,4,4,4,5,3,3,4,4,4,2,4,4,4,5,4,3,5,3,4,5,4,4,4,3,4,4,4,3,5,5,4,4,4,3,6,3,4,5,4,4,4,3,4,5,4,3,4,4
Scottie Scheffler,3,5,5,3,4,3,4,5,4,4,4,2,5,3,4,3,5,5,4,3,4,3,3,4,5,5,4,4,4,2,5,4,5,3,3,3,4,4,3,3,4,4,5,5,4,4,4,3,5,3,5,3,5,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,5,3,4,4
Cameron Champ,5,4,5,2,4,2,4,4,4,4,4,3,4,3,5,3,4,4,4,5,4,3,5,3,5,4,3,4,4,4,5,4,6,2,4,5,4,3,4,4,4,3,5,3,4,4,3,3,5,4,5,2,4,4,3,4,3,6,4,4,4,4,3,4,4,7,4,3,5,3,3,4
